Name,Age,City
Oleg,27,Omsk
Gennadiy,29,Moscow
Oleg,24,Saratov
Elena,24,Moscow
Ivan,30,Omsk
Oksana,25,Omsk
Gennadiy,23,Omsk
Oleg,22,Omsk
Ivan,30,Omsk
Olga,20,Saratov
Oksana,24,Saratov
Elena,23,Moscow
Gennadiy,21,Moscow
Oleg,23,Saratov
Gennadiy,20,Saratov
Gennadiy,20,Moscow
Gennadiy,23,Saratov
Oksana,30,Moscow
Olga,30,Saratov
Gennadiy,25,Omsk
Oksana,20,Omsk
Oksana,23,Omsk
Oksana,30,Omsk
Olga,30,Saratov
Olga,27,Moscow
Elena,22,Moscow
Olga,29,Omsk
Olga,20,Moscow
Gennadiy,29,Omsk
Gennadiy,26,Omsk
Gennadiy,27,Omsk
Olga,21,Moscow
Gennadiy,30,Omsk
Oksana,29,Saratov
Oleg,24,Moscow
Olga,24,Omsk
Gennadiy,26,Moscow
Oksana,25,Moscow
Gennadiy,23,Saratov
Ivan,26,Moscow
Gennadiy,30,Moscow
Elena,22,Saratov
Gennadiy,28,Omsk
Oleg,22,Saratov
Olga,21,Moscow
Ivan,27,Saratov
Elena,30,Omsk
Oleg,25,Omsk
Ivan,28,Omsk
Gennadiy,30,Saratov
Ivan,24,Moscow
Oleg,28,Omsk
Ivan,28,Omsk
Ivan,27,Moscow
Oksana,25,Saratov
Olga,29,Saratov
Elena,26,Saratov
Gennadiy,23,Moscow
Olga,25,Moscow
Elena,29,Omsk
Oleg,26,Omsk
Ivan,24,Moscow
Ivan,23,Omsk
Gennadiy,26,Saratov
Olga,28,Omsk
Elena,28,Saratov
Oksana,29,Omsk
Gennadiy,30,Moscow
Gennadiy,27,Omsk
Olga,21,Omsk
Oleg,23,Omsk
Oksana,23,Saratov
Oksana,22,Moscow
Ivan,28,Saratov
Oleg,20,Omsk
Oksana,22,Omsk
Gennadiy,20,Saratov
Oksana,23,Omsk
Oleg,20,Moscow
Ivan,26,Omsk
Oleg,30,Saratov
Ivan,25,Omsk
Olga,29,Saratov
Oleg,27,Moscow
Oleg,21,Omsk
Oksana,23,Saratov
Oksana,29,Omsk
Oleg,26,Moscow
Oksana,28,Moscow
Oksana,25,Moscow
Oleg,21,Omsk
Oleg,20,Moscow
Elena,28,Saratov
Olga,27,Omsk
